SessionID,SessionDate,SessionDuration,SessionFrequency,RecordID,WatchTimestamp,WatchtImeIntervalSince1970,WatchGyroX,WatchGyroY,WatchGyroZ,WatchAccX,WatchAccY,WatchAccZ
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.5510,1623161231.551334,0.07945041358470917,-0.05023232847452164,0.05524557828903198,-0.2117767035961151,0.592971682548523,-0.7689666152000427
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.5660,1623161231.565773,0.0401885025203228,-0.06476573646068573,0.07049324363470078,-0.2209472507238388,0.5845488905906677,-0.7781524658203125
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.5810,1623161231.5813332,-0.0009253548341803253,-0.07213017344474792,0.09053060412406921,-0.2217559516429901,0.5820311903953552,-0.7841644287109375
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.5960,1623161231.595763,-0.0351557619869709,-0.06831493228673935,0.09789237380027771,-0.2220916450023651,0.5810698866844177,-0.7859649658203125
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.6110,1623161231.61136,-0.04286247119307518,-0.05925698205828667,0.09196284413337708,-0.2196349799633026,0.5832671523094177,-0.7897491455078125
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.6260,1623161231.625818,-0.02889259345829487,-0.048412322998046875,0.0882091224193573,-0.21432490646839142,0.5800780653953552,-0.7916260361671448
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.6410,1623161231.641432,-0.028678476810455322,-0.02900933101773262,0.07652103900909424,-0.2102966010570526,0.5820465087890625,-0.7884216904640198
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.6560,1623161231.655833,-0.00015247844567056745,-0.003901316085830331,0.05452599376440048,-0.20344538986682892,0.5895842909812927,-0.7890777587890625
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.6710,1623161231.671475,0.02847764827311039,0.019997093826532364,0.03255464881658554,-0.2009429782629013,0.5947875380516052,-0.78924560546875
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.6860,1623161231.686111,0.0359313040971756,0.0395103394985199,0.015188975259661674,-0.1949462741613388,0.5994567275047302,-0.78277587890625
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.7010,1623161231.701484,0.05893169343471527,0.04639008268713951,-0.0036547540221363306,-0.1939239352941513,0.5947570204734802,-0.7814942002296448
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.7160,1623161231.7159538,0.07257158309221268,0.06201564893126488,-0.013874368742108345,-0.1968078464269638,0.5945739150047302,-0.779815673828125
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.7310,1623161231.7314801,0.07623746991157532,0.07258892804384232,-0.025003451853990555,-0.1993407905101776,0.5925139784812927,-0.77703857421875
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.7460,1623161231.745985,0.06826876103878021,0.07404407858848572,-0.0333964042365551,-0.20057673752307892,0.5890807509422302,-0.7749328017234802
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.7620,1623161231.761858,0.06580773741006851,0.06462261080741882,-0.039620477706193924,-0.2013244479894638,0.5886688232421875,-0.7781982421875
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.7760,1623161231.7762508,0.059464965015649796,0.05481819063425064,-0.041186414659023285,-0.19914241135120392,0.5885772109031677,-0.7770233154296875
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.7920,1623161231.7916632,0.058856647461652756,0.04474851116538048,-0.03826945647597313,-0.2001342624425888,0.5919494032859802,-0.7764434814453125
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.8060,1623161231.8060389,0.04557785764336586,0.026749005541205406,-0.030484769493341446,-0.2017059177160263,0.5888366103172302,-0.7747344970703125
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.8220,1623161231.821659,0.023116331547498703,0.012307747267186642,-0.014885837212204933,-0.2021636962890625,0.581329345703125,-0.776885986328125
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.8360,1623161231.836107,-0.00013958917406853288,0.000730187282897532,-0.004838529042899609,-0.2040862739086151,0.58990478515625,-0.775726318359375
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.8520,1623161231.851821,0.0035312329418957233,-0.016465310007333755,0.007313207723200321,-0.20545955002307892,0.5930023193359375,-0.7782135009765625
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.8660,1623161231.8662581,-0.012143600732088089,-0.028120635077357292,0.016629211604595184,-0.2019195407629013,0.5888213515281677,-0.780975341796875
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.8820,1623161231.8819199,-0.023892588913440704,-0.031336668878793716,0.0253814235329628,-0.2023620456457138,0.5848845839500427,-0.7805023193359375
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.8960,1623161231.8962011,-0.02981599047780037,-0.03477747365832329,0.026181437075138092,-0.2030944675207138,0.58709716796875,-0.7829742431640625
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.9120,1623161231.911771,-0.018359046429395676,-0.03648216277360916,0.02393532730638981,-0.1992492526769638,0.588455080986023,-0.780609130859375
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.9260,1623161231.9261742,-0.014539807103574276,-0.03178567811846733,0.011464543640613556,-0.1995391547679901,0.5901793837547302,-0.780181884765625
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.9420,1623161231.941886,-0.008568227291107178,-0.02738426998257637,0.008763566613197327,-0.2004241794347763,0.5905455946922302,-0.7819672226905823
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.9570,1623161231.9565248,-0.007774578407406807,-0.018401961773633957,0.0030188607051968575,-0.2008514255285263,0.5865172147750854,-0.7860412001609802
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.9720,1623161231.9721332,-0.0009136369335465133,-0.003874950809404254,-0.008570949546992779,-0.20175166428089142,0.5859679579734802,-0.78717041015625
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:11.9860,1623161231.9862971,0.011596828699111938,0.013690194115042686,-0.015272527933120728,-0.2028197944164276,0.58868408203125,-0.78851318359375
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:12.0020,1623161232.0019069,0.020688459277153015,0.03583837300539017,-0.023255087435245514,-0.2013244330883026,0.5872496962547302,-0.791778564453125
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:12.0160,1623161232.016269,0.02267928048968315,0.06524819135665894,-0.03363955020904541,-0.20881648361682892,0.5854949355125427,-0.797637939453125
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:12.0320,1623161232.031919,0.05249861255288124,0.10037368535995483,-0.04069133475422859,-0.21311946213245392,0.5850677490234375,-0.7978973388671875
1,2021-06-08 16:06:42.2090,00:35,60,3,2021-06-08 16:07:12.0470,1623161232.0466862,0.1105981394648552,0.14707088470458984,-0.062124188989400864,-0.21269221603870392,0.5941924452781677,-0.8026885986328125
